日付,始値,高値,安値,終値,出来高,終値調整値
2014-01-06,469,474,461,463,501000,463
2014-01-07,464,468,455,457,558000,457
2014-01-08,463,465,457,464,305600,464
2014-01-09,465,465,451,456,547400,456
2014-01-10,456,459,452,456,476100,456
2014-01-14,449,455,443,448,517600,448
2014-01-15,456,459,453,459,340700,459
2014-01-16,461,466,457,459,410000,459
2014-01-17,455,462,454,460,343600,460
2014-01-20,462,468,461,468,530900,468
2014-01-21,470,473,468,470,613900,470
2014-01-22,474,475,466,473,555500,473
2014-01-23,475,475,465,467,530100,467
2014-01-24,461,466,452,465,782800,465
2014-01-27,460,464,453,459,944300,459
2014-01-28,465,477,461,473,791800,473
2014-01-29,479,485,474,485,547300,485
2014-01-30,473,478,467,477,568400,477
2014-01-31,481,488,478,484,649800,484
2014-02-03,485,485,468,468,381600,468
2014-02-04,452,454,444,444,885000,444
2014-02-05,443,448,420,435,1168900,435
2014-02-06,441,448,435,440,455900,440
2014-02-07,452,455,449,454,312300,454
2014-02-10,464,464,456,461,280300,461
2014-02-12,465,477,465,476,474700,476
2014-02-13,476,478,470,473,359700,473
2014-02-14,473,476,449,463,345900,463
2014-02-17,463,471,456,470,229500,470
2014-02-18,472,479,468,479,357300,479
2014-02-19,473,475,464,467,228800,467
2014-02-20,468,469,457,460,254800,460
2014-02-21,466,477,461,475,375900,475
2014-02-24,476,482,461,468,234400,468
2014-02-25,476,479,469,479,346000,479
2014-02-26,472,478,469,469,209900,469
2014-02-27,469,469,462,465,231700,465
2014-02-28,464,473,460,470,358300,470
2014-03-03,469,470,460,467,243100,467
2014-03-04,462,471,460,470,202200,470
2014-03-05,477,482,476,480,305700,480
2014-03-06,480,481,473,481,237300,481
2014-03-07,485,485,476,481,296100,481
2014-03-10,477,479,471,476,350800,476
2014-03-11,476,485,475,484,242200,484
2014-03-12,475,477,468,470,387800,470
2014-03-13,470,475,470,472,310700,472
2014-03-14,465,468,456,457,467500,457
2014-03-17,452,461,443,452,593000,452
2014-03-18,465,476,464,467,584800,467
2014-03-19,465,466,451,456,318600,456
2014-03-20,464,477,464,470,733500,470
2014-03-24,475,489,455,461,1040500,461
2014-03-25,461,463,452,462,589700,462
2014-03-26,462,464,457,460,312000,460
2014-03-27,460,461,446,453,489200,453
2014-03-28,452,459,446,458,326800,458
2014-03-31,462,463,455,462,183500,462
2014-04-01,465,470,460,466,213500,466
2014-04-02,469,473,463,467,235900,467
2014-04-03,466,477,464,476,374700,476
2014-04-04,472,483,472,482,388900,482
2014-04-07,481,492,479,486,832700,486
2014-04-08,485,486,468,473,385500,473
2014-04-09,463,471,462,463,313100,463
2014-04-10,471,489,471,485,763100,485
2014-04-11,475,483,471,473,526700,473
2014-04-14,468,478,467,471,260400,471
2014-04-15,474,479,469,471,210800,471
2014-04-16,475,492,475,491,382800,491
2014-04-17,493,495,488,490,266600,490
2014-04-18,494,510,490,505,575700,505
2014-04-21,509,525,508,517,739100,517
2014-04-22,520,526,510,513,454300,513
2014-04-23,516,523,514,521,293300,521
2014-04-24,519,523,514,523,413100,523
2014-04-25,519,519,502,505,521500,505
2014-04-28,498,507,496,505,214500,505
2014-04-30,512,521,510,520,522000,520
2014-05-01,523,524,519,523,407300,523
2014-05-02,518,525,518,525,444300,525
2014-05-07,517,526,514,518,555300,518
2014-05-08,524,542,517,520,1715700,520
2014-05-09,512,516,495,497,737000,497
2014-05-12,495,499,485,486,244400,486
2014-05-13,491,499,487,499,309100,499
2014-05-14,498,504,494,501,329300,501
2014-05-15,497,502,488,498,310500,498
2014-05-16,493,493,477,483,473400,483
2014-05-19,485,488,479,481,200300,481
2014-05-20,480,487,474,483,261100,483
